Borough,Neighborhood,Zipcode
Manhattan,Upper_Manhattan,10031
Manhattan,Upper_Manhattan,10040
Manhattan,Upper_Manhattan,10033
Manhattan,Upper_Manhattan,10032
Manhattan,Upper_Manhattan,10031
Manhattan,Upper_Manhattan,10039
Manhattan,Upper_Manhattan,10030
Manhattan,Upper_Manhattan,10037
Manhattan,Upper_Manhattan,10034
Manhattan,Central_Harlem,10027
Manhattan,Central_Harlem,10026
Manhattan,East_Harlem,10029
Manhattan,Central_Harlem,10035
Manhattan,Bloomingdale,10025
Manhattan,Upper_West_Side,10024
Manhattan,Lincoln_Sq,10023
Manhattan,Lincoln_Sq,10069
Manhattan,Upper_East_Side,10128
Manhattan,Upper_East_Side,10028
Manhattan,Upper_East_Side,10075
Manhattan,Upper_East_Side,10162
Manhattan,Upper_East_Side,10021
Manhattan,Lenox_Hill,10065
Manhattan,Midtown_East,10022
Manhattan,Midtown_East,10152
Manhattan,Midtown_East,10154
Manhattan,Midtown_East,10153
Manhattan,Midtown_East,10167
Manhattan,Midtown_East,10171
Manhattan,Midtown_East,10177
Manhattan,Murray_Hill,10017
Manhattan,Murray_Hill,10174
Manhattan,Murray_Hill,10168
Manhattan,Murray_Hill,10170
Manhattan,Murray_Hill,10165
Manhattan,Murray_Hill,10173
Manhattan,Murray_Hill,10172
Manhattan,Murray_Hill,10169
Manhattan,Kips_Bay,10016
Manhattan,Rose_Hill,10016
Manhattan,Gramercy_Park,10010
Manhattan,Midtown_49-60th_St,10019
Manhattan,Midtown_49-60th_St,10103
Manhattan,Midtown_49-60th_St,10141
Manhattan,Midtown_Rockefeller,10020
Manhattan,Midtown_Rockefeller,10112
Manhattan,Midtown_42-49th_St,10036
Manhattan,Midtown_42-49th_St,10110
Manhattan,Midtown_42-49th_St,10111
Manhattan,Midtown_34-40th_St,10018
Manhattan,Midtown_25-34th_St,10001
Manhattan,Midtown_25-34th_St,10190
Manhattan,Midtown_25-34th_St,10199
Manhattan,Midtown_25-34th_St,10119
Manhattan,Chelsea,10011
Manhattan,Noho,10003
Manhattan,Soho,10012
Manhattan,East_Village,10009
Manhattan,Hudson_Square,10014
Manhattan,Lower_East_Side,10002
Manhattan,West_Village,10014
Manhattan,Tribeca,10013
Manhattan,Tribeca,10271
Manhattan,FiDi,10007
Manhattan,FiDi,10279
Manhattan,FiDi,10278
Manhattan,FiDi,10038
Manhattan,FiDi,10282
Manhattan,FiDi,10280
Manhattan,FiDi,10006
Manhattan,FiDi,10005
Manhattan,FiDi,10004
Brooklyn,Dowtown_Brooklyn,11201
Brooklyn,LIC,11109
Brooklyn,LIC,11101
Brooklyn,Willamsburg,11211
Brooklyn,Bushwick,11206
Brooklyn,Broadway_Triangle,11206
Brooklyn,Greenpoint,11222
Queens,Astoria,11106
Queens,Astoria,11102
Queens,Astoria,11103
Queens,Astoria,11105
Queens,Sunnyside,11104
Queens,Woodside_Maspeth,11377
Queens,Elmhurst,11373
Manhattan,Roosevelt_Island,10044
Manhattan,Randall_Island,10035
